"pfitzpatricktd","Independent"
"joefla","Fianna Fail"
"seanflemingtd","Fianna Fail"
"normafoleytd1","Fianna Fail"
"kathleensf1","Sinn Fein"
"garygannontd","Social Democrat"
"thomasgouldsf","Sinn Fein"
"bgriffintd","Fine Gael"
"johnnyguirke","Sinn Fein"
"marianharkin","Independent"
"sean_haughey","Fianna Fail"
"emerhigginstd","Fine Gael"
"neasa_neasa","Green"
"brendanhowlin","Labour"
"hhumphreysfg","Fine Gael"
"ginosocialist","Socialist"
"martin_kenny","Sinn Fein"
"clairekerrane","Sinn Fein"
"johnlahart","Fianna Fail"
"lawlessj","Fianna Fail"
"brianleddin","Green"
"michael_lowry","Independent"
"josephamadigan","Fine Gael"
